code,name_vi,name_en,district,country,zip_code
30283,13674,13674,16931,2,
30284,11547,11547,16932,2,
30285,13327,13327,16933,2,
30286,14827,14827,16934,2,
30287,14838,14838,16935,2,
30288,12887,12887,16936,2,
30289,12767,12767,16937,2,
30290,14755,14755,16938,2,
30291,12719,12719,16939,2,
30292,14891,14891,16940,2,
30293,14061,14061,16941,2,
30294,12803,12803,16942,2,
30295,14098,14098,16943,2,
30296,11739,11739,16944,2,
30297,10520,10520,16945,2,
30298,13661,13661,16946,2,
30299,14856,14856,16947,2,
30300,14423,14423,16948,2,
30301,13144,13144,16949,2,
30302,14532,14532,16950,2,
30303,12780,12780,16951,2,
30304,13402,13402,16952,2,
30305,12110,12110,16953,2,
30306,12075,12075,16954,2,
30307,12775,12775,16955,2,
30308,11379,11379,16956,2,
30309,10550,10550,16957,2,
30310,10552,10552,16957,2,
30311,10553,10553,16957,2,
30312,11789,11789,16958,2,
30313,11730,11730,16959,2,
30314,11572,11572,16960,2,
30315,13632,13632,16961,2,
30316,11001,11001,16962,2,
30317,11005,11005,16962,2,
30318,14534,14534,16963,2,
30319,12581,12581,16964,2,
30320,12549,12549,16965,2,
30321,12490,12490,16966,2,
30322,12071,12071,16967,2,
30323,14301,14301,16968,2,
30324,14302,14302,16968,2,
30325,14303,14303,16968,2,
30326,14304,14304,16968,2,
30327,14305,14305,16968,2,
30328,14464,14464,16969,2,
30329,12959,12959,16970,2,
30330,11716,11716,16971,2,
30331,10801,10801,16972,2,
30332,10804,10804,16972,2,
30333,10805,10805,16972,2,
30334,12823,12823,16973,2,
30335,11552,11552,16974,2,
30336,13844,13844,16975,2,
30337,14413,14413,16976,2,
30338,12131,12131,16977,2,
30339,11369,11369,16978,2,
30340,11370,11370,16978,2,
30341,12407,12407,16979,2,
30342,14777,14777,16980,2,
30343,13605,13605,16981,2,
30344,13408,13408,16982,2,
30345,13116,13116,16983,2,
30346,13636,13636,16984,2,
30347,14143,14143,16985,2,
30348,13054,13054,16986,2,
30349,12849,12849,16987,2,
30350,12125,12125,16988,2,
30351,14710,14710,16989,2,
30352,11901,11901,16990,2,
30353,12538,12538,16991,2,
30354,12037,12037,16992,2,
30355,14812,14812,16993,2,
30356,13839,13839,16994,2,
30357,13308,13308,16995,2,
30358,13659,13659,16996,2,
30359,12045,12045,16997,2,
30360,10522,10522,16998,2,
30361,11412,11412,16999,2,
