code,name_vi,name_en,province,country,zip_code
121,Huyện Mai Châu,Mai Chau,11,1,
122,Huyện Lạc Sơn,Lac Son,11,1,
123,Huyện Yên Thủy,Yen Thuy,11,1,
124,Huyện Lạc Thủy,Lac Thuy,11,1,
125,Thành phố Thái Nguyên,Thai Nguyen City,12,1,
126,Thành phố Sông Công,Song Cong City,12,1,
127,Huyện Định Hóa,Dinh Hoa,12,1,
128,Huyện Phú Lương,Phu Luong,12,1,
129,Huyện Đồng Hỷ,Dong Hy,12,1,
130,Huyện Võ Nhai,Vo Nhai,12,1,
131,Huyện Đại Từ,Dai Tu,12,1,
132,Thành phố Phổ Yên,Pho Yen City,12,1,
133,Huyện Phú Bình,Phu Binh,12,1,
134,Thành phố Lạng Sơn,Lang Son City,13,1,
135,Huyện Tràng Định,Trang Dinh,13,1,
136,Huyện Bình Gia,Binh Gia,13,1,
137,Huyện Văn Lãng,Van Lang,13,1,
138,Huyện Cao Lộc,Cao Loc,13,1,
139,Huyện Văn Quan,Van Quan,13,1,
140,Huyện Bắc Sơn,Bac Son,13,1,
141,Huyện Hữu Lũng,Huu Lung,13,1,
142,Huyện Chi Lăng,Chi Lang,13,1,
143,Huyện Lộc Bình,Loc Binh,13,1,
144,Huyện Đình Lập,Dinh Lap,13,1,
145,Thành phố Hạ Long,Ha Long City,14,1,
146,Thành phố Móng Cái,Mong Cai City,14,1,
147,Thành phố Cẩm Phả,Cam Pha City,14,1,
148,Thành phố Uông Bí,Uong Bi City,14,1,
149,Huyện Bình Liêu,Binh Lieu,14,1,
150,Huyện Tiên Yên,Tien Yen,14,1,
151,Huyện Đầm Hà,Dam Ha,14,1,
152,Huyện Hải Hà,Hai Ha,14,1,
153,Huyện Ba Chẽ,Ba Che,14,1,
154,Huyện Vân Đồn,Van Don,14,1,
155,Thị xã Đông Triều,Dong Trieu Town,14,1,
156,Thị xã Quảng Yên,Quang Yen Town,14,1,
157,Huyện Cô Tô,Co To,14,1,
158,Thành phố Bắc Giang,Bac Giang City,15,1,
159,Huyện Yên Thế,Yen The,15,1,
160,Huyện Tân Yên,Tan Yen,15,1,
161,Huyện Lạng Giang,Lang Giang,15,1,
162,Huyện Lục Nam,Luc Nam,15,1,
163,Huyện Lục Ngạn,Luc Ngan,15,1,
164,Huyện Sơn Động,Son Dong,15,1,
165,Huyện Yên Dũng,Yen Dung,15,1,
166,Huyện Việt Yên,Viet Yen,15,1,
167,Huyện Hiệp Hòa,Hiep Hoa,15,1,
168,Thành phố Việt Trì,Viet Tri City,16,1,
169,Thị xã Phú Thọ,Phu Tho Town,16,1,
170,Huyện Đoan Hùng,Doan Hung,16,1,
171,Huyện Hạ Hoà,Ha Hoa,16,1,
172,Huyện Thanh Ba,Thanh Ba,16,1,
173,Huyện Phù Ninh,Phu Ninh,16,1,
174,Huyện Yên Lập,Yen Lap,16,1,
175,Huyện Cẩm Khê,Cam Khe,16,1,
176,Huyện Tam Nông,Tam Nong,16,1,
177,Huyện Lâm Thao,Lam Thao,16,1,
178,Huyện Thanh Sơn,Thanh Son,16,1,
179,Huyện Thanh Thuỷ,Thanh Thuy,16,1,
180,Huyện Tân Sơn,Tan Son,16,1,
181,Thành phố Vĩnh Yên,Vinh Yen City,17,1,
182,Thành phố Phúc Yên,Phuc Yen City,17,1,
183,Huyện Lập Thạch,Lap Thach,17,1,
184,Huyện Tam Dương,Tam Duong,17,1,
185,Huyện Tam Đảo,Tam Dao,17,1,
186,Huyện Bình Xuyên,Binh Xuyen,17,1,
187,Huyện Yên Lạc,Yen Lac,17,1,
188,Huyện Vĩnh Tường,Vinh Tuong,17,1,
189,Huyện Sông Lô,Song Lo,17,1,
190,Thành phố Bắc Ninh,Bac Ninh City,18,1,
191,Huyện Yên Phong,Yen Phong,18,1,
192,Thị xã Quế Võ,Que Vo Town,18,1,
193,Huyện Tiên Du,Tien Du,18,1,
194,Thành phố Từ Sơn,Tu Son City,18,1,
195,Thị xã Thuận Thành,Thuan Thanh Town,18,1,
196,Huyện Gia Bình,Gia Binh,18,1,
197,Huyện Lương Tài,Luong Tai,18,1,
198,Thành phố Hải Dương,Hai Duong City,19,1,
199,Thành phố Chí Linh,Chi Linh City,19,1,
200,Huyện Nam Sách,Nam Sach,19,1,
201,Thị xã Kinh Môn,Kinh Mon Town,19,1,
202,Huyện Kim Thành,Kim Thanh,19,1,
203,Huyện Thanh Hà,Thanh Ha,19,1,
204,Huyện Cẩm Giàng,Cam Giang,19,1,
205,Huyện Bình Giang,Binh Giang,19,1,
206,Huyện Gia Lộc,Gia Loc,19,1,
207,Huyện Tứ Kỳ,Tu Ky,19,1,
208,Huyện Ninh Giang,Ninh Giang,19,1,
209,Huyện Thanh Miện,Thanh Mien,19,1,
210,Quận Hồng Bàng,Hong Bang,20,1,
211,Quận Ngô Quyền,Ngo Quyen,20,1,
212,Quận Lê Chân,Le Chan,20,1,
213,Quận Hải An,Hai An,20,1,
214,Quận Kiến An,Kien An,20,1,
215,Quận Đồ Sơn,Do Son,20,1,
216,Quận Dương Kinh,Duong Kinh,20,1,
217,Huyện Thuỷ Nguyên,Thuy Nguyen,20,1,
218,Huyện An Dương,An Duong,20,1,
219,Huyện An Lão,An Lao,20,1,
220,Huyện Kiến Thuỵ,Kien Thuy,20,1,
221,Huyện Tiên Lãng,Tien Lang,20,1,
222,Huyện Vĩnh Bảo,Vinh Bao,20,1,
223,Huyện Cát Hải,Cat Hai,20,1,
224,Huyện Bạch Long Vĩ,Bach Long Vi,20,1,
225,Thành phố Hưng Yên,Hung Yen City,21,1,
226,Huyện Văn Lâm,Van Lam,21,1,
227,Huyện Văn Giang,Van Giang,21,1,
228,Huyện Yên Mỹ,Yen My,21,1,
229,Thị xã Mỹ Hào,My Hao Town,21,1,
230,Huyện Ân Thi,An Thi,21,1,
231,Huyện Khoái Châu,Khoai Chau,21,1,
232,Huyện Kim Động,Kim Dong,21,1,
233,Huyện Tiên Lữ,Tien Lu,21,1,
234,Huyện Phù Cừ,Phu Cu,21,1,
235,Thành phố Thái Bình,Thai Binh City,22,1,
236,Huyện Quỳnh Phụ,Quynh Phu,22,1,
237,Huyện Hưng Hà,Hung Ha,22,1,
238,Huyện Đông Hưng,Dong Hung,22,1,
239,Huyện Thái Thụy,Thai Thuy,22,1,
240,Huyện Tiền Hải,Tien Hai,22,1,
241,Huyện Kiến Xương,Kien Xuong,22,1,
242,Huyện Vũ Thư,Vu Thu,22,1,
243,Thành phố Phủ Lý,Phu Ly City,23,1,
244,Thị xã Duy Tiên,Duy Tien Town,23,1,
245,Huyện Kim Bảng,Kim Bang,23,1,
246,Huyện Thanh Liêm,Thanh Liem,23,1,
247,Huyện Bình Lục,Binh Luc,23,1,
248,Huyện Lý Nhân,Ly Nhan,23,1,
249,Thành phố Nam Định,Nam Dinh City,24,1,
250,Huyện Mỹ Lộc,My Loc,24,1,
251,Huyện Vụ Bản,Vu Ban,24,1,
252,Huyện Ý Yên,Y Yen,24,1,
253,Huyện Nghĩa Hưng,Nghia Hung,24,1,
254,Huyện Nam Trực,Nam Truc,24,1,
255,Huyện Trực Ninh,Truc Ninh,24,1,
256,Huyện Xuân Trường,Xuan Truong,24,1,
257,Huyện Giao Thủy,Giao Thuy,24,1,
258,Huyện Hải Hậu,Hai Hau,24,1,
259,Thành phố Ninh Bình,Ninh Binh City,25,1,
260,Thành phố Tam Điệp,Tam Diep City,25,1,
261,Huyện Nho Quan,Nho Quan,25,1,
262,Huyện Gia Viễn,Gia Vien,25,1,
263,Huyện Hoa Lư,Hoa Lu,25,1,
