code,name_vi,name_en,country,province,zip_code
121,Huyện Mai Châu,Mai Chau,1,11,
122,Huyện Lạc Sơn,Lac Son,1,11,
123,Huyện Yên Thủy,Yen Thuy,1,11,
124,Huyện Lạc Thủy,Lac Thuy,1,11,
125,Thành phố Thái Nguyên,Thai Nguyen City,1,12,
126,Thành phố Sông Công,Song Cong City,1,12,
127,Huyện Định Hóa,Dinh Hoa,1,12,
128,Huyện Phú Lương,Phu Luong,1,12,
129,Huyện Đồng Hỷ,Dong Hy,1,12,
130,Huyện Võ Nhai,Vo Nhai,1,12,
131,Huyện Đại Từ,Dai Tu,1,12,
132,Thành phố Phổ Yên,Pho Yen City,1,12,
133,Huyện Phú Bình,Phu Binh,1,12,
134,Thành phố Lạng Sơn,Lang Son City,1,13,
135,Huyện Tràng Định,Trang Dinh,1,13,
136,Huyện Bình Gia,Binh Gia,1,13,
137,Huyện Văn Lãng,Van Lang,1,13,
138,Huyện Cao Lộc,Cao Loc,1,13,
139,Huyện Văn Quan,Van Quan,1,13,
140,Huyện Bắc Sơn,Bac Son,1,13,
141,Huyện Hữu Lũng,Huu Lung,1,13,
142,Huyện Chi Lăng,Chi Lang,1,13,
143,Huyện Lộc Bình,Loc Binh,1,13,
144,Huyện Đình Lập,Dinh Lap,1,13,
145,Thành phố Hạ Long,Ha Long City,1,14,
146,Thành phố Móng Cái,Mong Cai City,1,14,
147,Thành phố Cẩm Phả,Cam Pha City,1,14,
148,Thành phố Uông Bí,Uong Bi City,1,14,
149,Huyện Bình Liêu,Binh Lieu,1,14,
150,Huyện Tiên Yên,Tien Yen,1,14,
151,Huyện Đầm Hà,Dam Ha,1,14,
152,Huyện Hải Hà,Hai Ha,1,14,
153,Huyện Ba Chẽ,Ba Che,1,14,
154,Huyện Vân Đồn,Van Don,1,14,
155,Thị xã Đông Triều,Dong Trieu Town,1,14,
156,Thị xã Quảng Yên,Quang Yen Town,1,14,
157,Huyện Cô Tô,Co To,1,14,
158,Thành phố Bắc Giang,Bac Giang City,1,15,
159,Huyện Yên Thế,Yen The,1,15,
160,Huyện Tân Yên,Tan Yen,1,15,
161,Huyện Lạng Giang,Lang Giang,1,15,
162,Huyện Lục Nam,Luc Nam,1,15,
163,Huyện Lục Ngạn,Luc Ngan,1,15,
164,Huyện Sơn Động,Son Dong,1,15,
165,Huyện Yên Dũng,Yen Dung,1,15,
166,Huyện Việt Yên,Viet Yen,1,15,
167,Huyện Hiệp Hòa,Hiep Hoa,1,15,
168,Thành phố Việt Trì,Viet Tri City,1,16,
169,Thị xã Phú Thọ,Phu Tho Town,1,16,
170,Huyện Đoan Hùng,Doan Hung,1,16,
171,Huyện Hạ Hoà,Ha Hoa,1,16,
172,Huyện Thanh Ba,Thanh Ba,1,16,
173,Huyện Phù Ninh,Phu Ninh,1,16,
174,Huyện Yên Lập,Yen Lap,1,16,
175,Huyện Cẩm Khê,Cam Khe,1,16,
176,Huyện Tam Nông,Tam Nong,1,16,
177,Huyện Lâm Thao,Lam Thao,1,16,
178,Huyện Thanh Sơn,Thanh Son,1,16,
179,Huyện Thanh Thuỷ,Thanh Thuy,1,16,
180,Huyện Tân Sơn,Tan Son,1,16,
181,Thành phố Vĩnh Yên,Vinh Yen City,1,17,
182,Thành phố Phúc Yên,Phuc Yen City,1,17,
183,Huyện Lập Thạch,Lap Thach,1,17,
184,Huyện Tam Dương,Tam Duong,1,17,
185,Huyện Tam Đảo,Tam Dao,1,17,
186,Huyện Bình Xuyên,Binh Xuyen,1,17,
187,Huyện Yên Lạc,Yen Lac,1,17,
188,Huyện Vĩnh Tường,Vinh Tuong,1,17,
189,Huyện Sông Lô,Song Lo,1,17,
190,Thành phố Bắc Ninh,Bac Ninh City,1,18,
191,Huyện Yên Phong,Yen Phong,1,18,
192,Thị xã Quế Võ,Que Vo Town,1,18,
193,Huyện Tiên Du,Tien Du,1,18,
194,Thành phố Từ Sơn,Tu Son City,1,18,
195,Thị xã Thuận Thành,Thuan Thanh Town,1,18,
196,Huyện Gia Bình,Gia Binh,1,18,
197,Huyện Lương Tài,Luong Tai,1,18,
198,Thành phố Hải Dương,Hai Duong City,1,19,
199,Thành phố Chí Linh,Chi Linh City,1,19,
200,Huyện Nam Sách,Nam Sach,1,19,
201,Thị xã Kinh Môn,Kinh Mon Town,1,19,
202,Huyện Kim Thành,Kim Thanh,1,19,
203,Huyện Thanh Hà,Thanh Ha,1,19,
204,Huyện Cẩm Giàng,Cam Giang,1,19,
205,Huyện Bình Giang,Binh Giang,1,19,
206,Huyện Gia Lộc,Gia Loc,1,19,
207,Huyện Tứ Kỳ,Tu Ky,1,19,
208,Huyện Ninh Giang,Ninh Giang,1,19,
209,Huyện Thanh Miện,Thanh Mien,1,19,
210,Quận Hồng Bàng,Hong Bang,1,20,
211,Quận Ngô Quyền,Ngo Quyen,1,20,
212,Quận Lê Chân,Le Chan,1,20,
213,Quận Hải An,Hai An,1,20,
214,Quận Kiến An,Kien An,1,20,
215,Quận Đồ Sơn,Do Son,1,20,
216,Quận Dương Kinh,Duong Kinh,1,20,
217,Huyện Thuỷ Nguyên,Thuy Nguyen,1,20,
218,Huyện An Dương,An Duong,1,20,
219,Huyện An Lão,An Lao,1,20,
220,Huyện Kiến Thuỵ,Kien Thuy,1,20,
221,Huyện Tiên Lãng,Tien Lang,1,20,
222,Huyện Vĩnh Bảo,Vinh Bao,1,20,
223,Huyện Cát Hải,Cat Hai,1,20,
224,Huyện Bạch Long Vĩ,Bach Long Vi,1,20,
225,Thành phố Hưng Yên,Hung Yen City,1,21,
226,Huyện Văn Lâm,Van Lam,1,21,
227,Huyện Văn Giang,Van Giang,1,21,
228,Huyện Yên Mỹ,Yen My,1,21,
229,Thị xã Mỹ Hào,My Hao Town,1,21,
230,Huyện Ân Thi,An Thi,1,21,
231,Huyện Khoái Châu,Khoai Chau,1,21,
232,Huyện Kim Động,Kim Dong,1,21,
233,Huyện Tiên Lữ,Tien Lu,1,21,
234,Huyện Phù Cừ,Phu Cu,1,21,
235,Thành phố Thái Bình,Thai Binh City,1,22,
236,Huyện Quỳnh Phụ,Quynh Phu,1,22,
237,Huyện Hưng Hà,Hung Ha,1,22,
238,Huyện Đông Hưng,Dong Hung,1,22,
239,Huyện Thái Thụy,Thai Thuy,1,22,
240,Huyện Tiền Hải,Tien Hai,1,22,
241,Huyện Kiến Xương,Kien Xuong,1,22,
242,Huyện Vũ Thư,Vu Thu,1,22,
243,Thành phố Phủ Lý,Phu Ly City,1,23,
244,Thị xã Duy Tiên,Duy Tien Town,1,23,
245,Huyện Kim Bảng,Kim Bang,1,23,
246,Huyện Thanh Liêm,Thanh Liem,1,23,
247,Huyện Bình Lục,Binh Luc,1,23,
248,Huyện Lý Nhân,Ly Nhan,1,23,
249,Thành phố Nam Định,Nam Dinh City,1,23,
250,Huyện Mỹ Lộc,My Loc,1,24,
251,Huyện Vụ Bản,Vu Ban,1,24,
252,Huyện Ý Yên,Y Yen,1,24,
253,Huyện Nghĩa Hưng,Nghia Hung,1,24,
254,Huyện Nam Trực,Nam Truc,1,24,
255,Huyện Trực Ninh,Truc Ninh,1,24,
256,Huyện Xuân Trường,Xuan Truong,1,24,
257,Huyện Giao Thủy,Giao Thuy,1,24,
258,Huyện Hải Hậu,Hai Hau,1,24,
259,Thành phố Ninh Bình,Ninh Binh City,1,25,
260,Thành phố Tam Điệp,Tam Diep City,1,25,
261,Huyện Nho Quan,Nho Quan,1,25,
262,Huyện Gia Viễn,Gia Vien,1,25,
263,Huyện Hoa Lư,Hoa Lu,1,25,
